timestamp,price,score,score_z,velocity_z,imbalance_z,compression_z,exhaustion_z,score_fast,score_medium,score_slow,price_trend,score_trend,state,long_prob,short_prob,vwap,er,atr,oi,delta_velocity,momentum,acceleration,persistence,size_bias,absorption
2026-03-08T05:15:54.4264400Z,66945.9,-12.926643200549451,-0.5280737365972219,-0.8917686437743537,-0.21545795698845596,-2.8913795917586773,-0.26971330325042653,-0.5058373083311509,-3.8157744208785593,-2.6849561253917082,Bullish,Neutral,Neutral,0,1,67177.981872454,0.028846153846153848,47.11534879830583,84448.661,-0.08658008658008658,-0.08658008658008658,-0.08658008658008658,0,-0.07275,-1
2026-03-08T05:15:59.5976518Z,66945.9,1.140503701887503,0.0789681439411586,6.811566346209161,1.2900313990803476,-2.891070602469113,13.276479741737418,-0.5026944539765905,-3.8134068123047786,-2.6840422725659594,Bullish,Neutral,Exhaustion,1,0,67177.97975477166,0.048946152230242394,47.11534879830583,69094.35899999998,0.6616687740061803,0.6616687740061803,0.7482488605862668,1,0.07147039473684211,0
2026-03-08T05:16:04.6501725Z,66946.8,-3.73649495336543,-0.13150333362427233,-6.455269474528683,-0.13740119589881838,-2.8907631740707114,-0.12676845268953355,-0.5091137406358176,-3.813368604430123,-2.6843037333660793,Bullish,Neutral,Neutral,0,1,67177.97973789606,0.06422279056549716,43.75710959842622,56531.74827272725,-0.6273507779097132,-0.6273507779097132,-1.2890195519158936,0,0.0009714734950584009,1
2026-03-08T05:16:09.6994616Z,66947.1,2.546591113714921,0.1396264721965851,0.2189228660457439,-0.0889959040566486,-2.8904564296294755,-0.25495291052870483,-0.5029286256199587,-3.810146835998803,-2.6829785886336626,Bullish,Neutral,Neutral,0.8011465754847733,0.19885342451522672,67177.97931655422,0.07206755886352027,43.75710959842622,46253.24858677684,0.02127232939146918,0.02127232939146918,0.6486231073011823,0,0.0004777667439037846,1
2026-03-08T05:16:14.8935214Z,66950.6,2.3134472852189814,0.12955301517341572,0.6470678885814889,0.05408350032056996,-2.890149806823501,-0.2657836817847639,-0.49749974905564986,-3.807193011714144,-2.6817733373215455,Bullish,Neutral,Neutral,1,0,67177.9788808536,0.05268512462757045,43.75710959842622,37842.45938918105,0.06288228445663616,0.06288228445663616,0.04160995506516697,0,0.0009722447836437474,0
2026-03-08T05:16:19.9614055Z,66950.6,2.1523539559665643,0.1225838919803665,0.37960865562754975,0.13801169069210947,-2.889836298920672,0.4858291194910096,-0.49237367074590555,-3.8043080581751227,-2.6806030725833083,Bullish,Neutral,Neutral,1,0,67177.97718786127,0.05406388706977182,43.75710959842622,30962.01222751177,0.03689333001165212,0.03689333001165212,-0.025988954444984037,0,0.004393952215032354,0
2026-03-08T05:16:25.0025045Z,66950.5,-2.8526533157832197,-0.09341720658214869,-1.0609962721771828,-0.09658227171576675,-2.889518219643912,-0.05837535625942456,-0.497018390773004,-3.803839402829861,-2.6806454439582246,Bullish,Neutral,Neutral,0,1,67177.97718371,0.060770244545320644,43.75710959842622,25332.555458873263,-0.10309873150924095,-0.10309873150924095,-0.13999206152089308,0,-0.005844152342433434,-1
2026-03-08T05:16:30.0644888Z,66950.6,-6.043143050796141,-0.23111229316769602,-0.8326639827680279,-0.28069339022586115,-2.889195781061132,-0.10379830088091851,-0.5075526532336827,-3.8049037234808485,-2.681444650563192,Bullish,Neutral,Neutral,0,1,67177.97692229431,0.047017752358306124,43.75710959842622,20726.63628453267,-0.08091330379501778,-0.08091330379501778,0.022185427714223174,0,-0.015726076555023925,-1
2026-03-08T05:16:35.2856110Z,66950.6,-7.165457885240472,-0.27955892657863624,0.23962182978232868,-0.22771658607152453,-2.888867789730328,0.20731776350297546,-0.5199121057033687,-3.8064646967743987,-2.682486213111107,Bullish,Neutral,Neutral,0.32082297816448263,0.6791770218355173,67177.97667332756,0.03837505621345832,43.75710959842622,16959.117323708542,0.02328715418848866,0.02328715418848866,0.10420045798350644,0,-0.01394831223628692,-1
2026-03-08T05:16:40.3248769Z,66954.2,-7.221444578511886,-0.28198922154404593,0.9236903461438213,-0.02348516446748968,1.200958455179656,-0.2643294797810953,-0.5325615584677582,-3.8080776611944387,-2.683558298603958,Bullish,Neutral,Compression,0.7514780744840587,0.24852192551594138,67177.97648139176,0.04463881767455581,43.75710959842622,13875.641446670625,0.08976376360041508,0.08976376360041508,0.06647660941192642,0,-0.012747195141876805,-1
2026-03-08T05:16:45.3820385Z,66952.1,-5.549535815548221,-0.20985431723638434,1.7223409948997337,0.35735032222057456,1.164859351053265,-0.25311560321434945,-0.5418864920778143,-3.808887579256171,-2.684224851959221,Bullish,Neutral,Compression,0.9083423740993272,0.09165762590067282,67177.97614750535,0.03884084357456841,43.75710959842622,11352.797547275964,0.16738259934490005,0.16738259934490005,0.07761883574448497,0,-0.011182199618563255,-1
2026-03-08T05:16:50.4505729Z,66951.8,-5.607151979706281,-0.21235977244610804,0.1713563061506664,0.3952376096339147,1.3453081608607005,-0.2580632626211312,-0.5508878369570204,-3.8096871157236403,-2.684874726255233,Bullish,Neutral,Compression,0.7273781796598707,0.27262182034012933,67177.97612686774,0.022451971298503827,43.75710959842622,9288.652538680333,0.01666129413512707,0.01666129413512707,-0.15072130520977298,0,-0.0065734615384615384,-1
2026-03-08T05:16:55.6818485Z,66955.5,-6.683901954930015,-0.2588488658204604,-0.979973560152804,0.1785425174786299,1.3294946375891117,-0.2641630365626224,-0.5612702069556862,-3.810904340389065,-2.685721610530795,Bullish,Neutral,Compression,0.12596792259007192,0.8740320774099282,67177.97574928834,0.005540382364421116,43.75710959842622,7599.14407710209,-0.0952254250505471,-0.0952254250505471,-0.11188671918567417,0,-0.05182571616006998,-1
